MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PTS
33.288333333333334,6,11,0.545,4,7,0.571,0,0,0.0,4,3,3,1,1,16
33.68333333333333,4,9,0.444,2,5,0.4,0,0,0.0,1,1,0,1,0,10
33.248333333333335,9,13,0.692,6,9,0.667,1,2,0.5,2,2,2,0,1,25
34.46666666666667,6,15,0.4,4,11,0.364,4,4,1.0,1,2,2,0,0,20
28.666666666666668,4,12,0.333,3,9,0.333,2,3,0.667,1,4,2,3,0,13
36.05,4,5,0.8,2,3,0.667,0,0,0.0,2,4,2,1,1,10
40.916666666666664,7,16,0.438,5,12,0.417,1,2,0.5,5,6,1,2,2,20
33.18666666666667,5,12,0.417,4,8,0.5,0,0,0.0,2,1,1,1,1,14
29.066666666666666,6,9,0.667,3,6,0.5,0,0,0.0,1,3,1,0,0,15
27.811666666666667,5,9,0.556,3,4,0.75,0,0,0.0,2,2,1,3,0,13
25.25,1,9,0.111,0,8,0.0,0,0,0.0,1,2,3,0,0,2
31.066666666666666,8,14,0.571,3,5,0.6,2,2,1.0,5,8,1,1,0,21
33.766666666666666,6,15,0.4,1,4,0.25,0,0,0.0,1,3,1,2,2,13
24.216666666666665,3,5,0.6,1,2,0.5,0,0,0.0,1,1,0,1,1,7
36.15,8,14,0.571,4,9,0.444,0,0,0.0,2,6,4,0,0,20
25.756666666666668,9,14,0.643,3,7,0.429,0,0,0.0,2,4,0,1,0,21
30.285,6,16,0.375,2,8,0.25,1,1,1.0,2,0,2,0,0,15
31.65,4,16,0.25,2,9,0.222,0,0,0.0,4,1,1,1,1,10
